CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
FIAT UNO Way 1.4 Mecanico 2019,FIAT,2019,44470,1400,35500000
Suzuki Vitara Glx 1.6 4x4 Aut 2021,Suzuki,2021,9290,1600,86000000
KIA Cerato Pro 2nd Generation Mec 2019,KIA,2019,31680,1600,57900000
Ssangyong Tivoli Xlv Elite 4x2 Aut Fe 2020,Ssangyong,2020,8220,1600,74900000
Peugeot 2008 1.6 Active Vti Aut 2017,Peugeot,2017,30230,1600,55400000
Renault Sandero 1.6 Dynamique Mecanico 2012,Renault,2012,89730,1600,24000000
Volkswagen GOL Comfortline 1.6 5p 2018,Volkswagen,2018,40620,1600,37200000
Renault Sandero RS 2017,Renault,2017,52710,2000,44900000
Volvo V40 T4 R-Design 2019,Volvo,2019,18670,2000,86900000
Chevrolet Spark LS 2019,Chevrolet,2019,32860,1000,25900000
FORD Ecosport 2.0 4x2 Aut Titanium 2017,FORD,2017,51230,2000,56500000
JEEP Compass Sport 4x2 2019,JEEP,2019,22540,2400,80900000
JEEP Wrangler 3.6 Sport 3 Puertas Automatico Full Equipo 2016,JEEP,2016,38950,3600,116900000
FORD Fiesta Hb Titanium Mecanico 2018,FORD,2018,23880,1600,47000000
JEEP Renegade Sport Plus 1.8 Automatica 2020,JEEP,2020,17240,1800,79500000
Renault Kangoo Z.E. 2 Puestos 2019,Renault,2019,24975,1600,49900000
Renault Sandero Automatico 2015,Renault,2015,50510,1600,34500000
Renault Sandero Exclusive 2018,Renault,2018,31110,1600,37900000
Renault Kangoo Express Ca 2019,Renault,2019,19370,1600,49900000
FORD Ranger 2.2 Xl 4x4 Doble Cabina Diesel 2015,FORD,2015,102690,2200,72900000
Dodge Durango GT 2017,Dodge,2017,30060,3600,123900000
KIA Picanto Ion 1.0 Aire Acondicionado 2018,KIA,2018,50270,1000,29500000
Renault Sandero Authentique Aire Acondicionado 2017,Renault,2017,69600,1600,33500000
Dodge Durango 6.4 Srt 2020,Dodge,2020,100,6400,310000000
Renault KWID Outsider 2020,Renault,2020,16810,1000,38900000
AUDI A4 1.8 Tfsi B8 Multitronic Confort 120 Hp 2014,AUDI,2014,34110,1800,61000000
FIAT UNO Sporting 1.4 2019,FIAT,2019,6250,1400,36900000
Mitsubishi Eclipse  2020,Mitsubishi,2020,100,2000,123800000
Nissan Qashqai 2 2.0 Mcvt F.E 2018,Nissan,2018,39800,2000,77900000
Nissan Versa Advance Aut 2018,Nissan,2018,28500,1600,46900000
FORD Escape 2.0 Xlt 4wd 2020,FORD,2020,3960,2000,118000000
Renault Duster Dynamique 4x2 Bvm 1.6l 2017,Renault,2017,61700,1600,44900000
Jaguar XE Prestige 2.0 T 2017,Jaguar,2017,4050,2000,105000000
Renault Duster 1.3t Intens 4x4 2022,Renault,2022,0,1300,80690000
Chevrolet ONIX Sedan Ltz 2019,Chevrolet,2019,24381,1600,44500000
Suzuki Swift Dzire Gl 2020,Suzuki,2020,8400,1200,44300000
Renault Sandero  2019,Renault,2019,15538,1600,38000000
FORD Fusion Titanium Plus 2017,FORD,2017,19750,2000,73000000
Renault CLIO Style Aa Da 2017,Renault,2017,65200,1200,22000000
Chevrolet Tracker  2016,Chevrolet,2016,41000,1800,60000000
Subaru XV 2.0 Automatico 2019,Subaru,2019,4500,2000,95000000
BMW Serie 3 325i Automatico 2009,BMW,2009,40900,2500,44000000
BMW X3  2010,BMW,2010,71000,3000,55000000
Dodge Journey 2.4 SE 5 Puestos 2017,Dodge,2017,34000,2400,55500000
LEXUS GX 460 4.6 Automatica 2016,LEXUS,2016,25000,4600,250000000
BMW X3 2.5i Aut 2009,BMW,2009,85000,2500,46000000
Dodge Journey 2.4 Se 5 Puestos 2011,Dodge,2011,127000,2400,35000000
Hyundai ATOS  2010,Hyundai,2010,90000,1000,75000000
Toyota Corolla 1.8 S Aut 2016,Toyota,2016,73363,1800,56000000
Volkswagen Jetta 2.0 Europa 2015,Volkswagen,2015,81600,2000,35800000
KIA Cerato 1.6 Lx Automatico Full Equipo 2018,KIA,2018,70000,1600,54890000
Renault KWID Outsider 2021,Renault,2021,17000,1000,38900000
Mercedes Benz Clase C 180 Aut 2006,Mercedes Benz,2006,115272,1800,26900000
